127.0.0.1 - - [30/Jul/2020:16:16:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:16:20 +0900] "GET /example-web/index.html HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:16:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:16:48 +0900] "GET /example-web/01.hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:16:54 +0900] "GET /example-web/01.member-list.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:18:41 +0900] "GET /example-web/index.html HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:01 +0900] "GET /example-web/03.jsp-object.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:03 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:03 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:03 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:03 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:04 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:04 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:04 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:04 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:04 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:16:33:05 +0900] "GET /example-web/index.html HTTP/1.1" 304 -
